Dates,15:52 18 Jun. 2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle,Dynamic Loft,ImpactHorizontal,ImpactVertical,ClubSpeed,SmashFactor
7 Iron,32,114.7,L0.6,19.1,7493,L1.1,7492,L149,31.9,155.1,156.5,L2.9,48.3,R0.9,L0.9,-4.1,26.7,H1.8,-23.9,39.4,1.3
7 Iron,33,114.4,L0.5,20.9,6761,L2.8,6753,L329,34.8,157.0,158.5,L5.1,49.8,R0.7,L0.7,-2.9,28.8,H4.8,-25.1,38.9,1.3
7 Iron,34,93.7,L2.3,19.7,4083,L28.2,3598,L1931,17.6,124.0,135.2,L23.3,35.8,R4.6,L3.8,-0.8,26.4,H0.9,-6.6,37.5,1.1
7 Iron,35,120.2,L0.1,20.8,6372,L9.8,6279,L1086,38.3,167.6,169.2,L15.4,50.9,R2.1,L0.7,-3.5,28.8,T3.1,-23.3,40.7,1.3
7 Iron,36,114.1,R3.7,18.9,7861,R6.0,7819,R818,31.0,152.9,154.1,R17.2,47.9,R3.1,R3.9,-3.4,26.2,H14.4,-27.0,40.1,1.3
7 Iron,37,118.1,R1.0,17.5,6116,L10.7,6009,L1139,31.2,167.5,170.5,L12.5,46.5,R5.2,L0.1,-0.3,23.6,H16.2,-27.1,40.2,1.3
7 Iron,38,115.9,L0.3,18.9,6561,L10.9,6444,L1236,32.2,160.8,163.0,L15.9,47.9,R4.0,L1.4,-3.9,26.4,H8.1,-24.8,40.1,1.3
7 Iron,39,112.3,R2.5,16.3,6684,R7.3,6631,R845,26.0,154.9,158.3,R15.2,43.5,R2.1,R2.6,-3.5,22.8,T1.8,-26.9,40.4,1.2
7 Iron,40,116.1,L0.9,20.5,6543,L9.4,6456,L1066,35.0,160.6,162.3,L15.7,49.7,R2.8,L1.8,-2.6,28.2,H5.4,-24.2,39.4,1.3
7 Iron,41,120.3,L2.8,9.6,4778,L26.9,4262,L2159,14.6,161.1,176.8,L34.7,28.8,R5.5,L4.6,-1.0,13.5,H12.8,-29.2,40.0,1.3
7 Iron,42,115.0,L1.7,17.9,6817,L12.4,6657,L1468,29.8,158.1,160.5,L20.8,46.5,R2.9,L2.6,-3.7,25.1,H0.6,-27.7,39.2,1.3
7 Iron,43,117.8,L1.3,21.7,6316,L12.0,6178,L1313,38.0,163.5,165.1,L21.0,51.0,R3.6,L2.4,-0.2,29.2,H1.9,-25.8,39.9,1.3
7 Iron,44,119.8,L0.6,20.4,6257,L17.4,5972,L1866,36.4,167.1,169.1,L27.1,50.0,R4.4,L1.8,-1.8,27.8,H10.5,-24.8,39.5,1.4
7 Iron,45,121.2,R0.8,21.9,6409,L16.8,6135,L1853,39.9,167.4,168.7,L23.7,51.8,R6.8,L0.7,-0.2,29.4,H18.1,-23.5,40.7,1.3
7 Iron,46,117.9,R0.5,20.8,6729,L11.4,6595,L1332,36.5,162.1,163.5,L15.5,50.3,R6.0,L0.9,1.5,27.5,H21.0,-26.6,41.8,1.3
7 Iron,47,119.2,L0.4,14.2,5965,L11.0,5856,L1138,26.2,169.7,174.8,L16.4,42.0,R3.8,L1.4,-1.1,19.5,H16.4,-27.7,41.3,1.3
7 Iron,48,119.1,L0.6,22.6,6166,L23.8,5642,L2487,23.8,142.3,148.0,L41.7,42.2,R8.7,L2.8,0.1,30.3,H11.5,-18.5,39.5,1.4
